Rock ID,District,Name,m.a.s.l,Longitude W,Latitude N
1,Otrabanda,San Antonio 1,1693,-75.7182614402,5.6630236617
2,Otrabanda,San Antonio 2,1693,-75.7182072095,5.6630596957
3,Otrabanda,San Antonio 3,1693,-75.7182613979,5.6630417422
4,Otrabanda,Chispas 1,1733,-75.7199253113,5.6654413232
5,Otrabanda,Chispas 2,1739,-75.7200966061,5.6655140471
6,Otrabanda,La Peña 1,1745,-75.7205063461,5.6678202852
7,Otrabanda,La Peña 2,1761,-75.7209297562,5.6681376881
8,Casco Urbano,Estadio,1678,-75.7159214862,5.6641482047
9,Casco Urbano,El Liceo,1685,-75.7151255163,5.6687749601
10,Casco Urbano,Jardín Botánico,1682,-75.7175366293,5.6681026071
11,San Luis,Cristo Rey 1,1712,-75.7174140865,5.6741864366
12,San Luis,Cristo Rey 2,1694,-75.7167570338,5.6734435874
13,San Luis,Cristo Rey 3,1713,-75.7174932735,5.6750544909
14,San Luis,Las Nieves,1645,-75.7139940471,5.6740699007
15,San Luis,Cementerio,1658,-75.7132380702,5.6731821709
16,San Luis,El Guadual,1637,-75.7184056099,5.6862394796
17,San Luis,El Cafetal,1632,-75.7182331854,5.6866458867
18,San Luis,El Motor,1596,-75.7164636172,5.6869490859
19,San Luis,San Luis,1611,-75.7186118056,5.6906697084
20,El Hacha,La Miranda 1,1497,-75.7158123365,5.6952555682
21,El Hacha,La Miranda 2,1490,-75.7148110681,5.695045275
22,El Tabor,Fátima,1434,-75.7116058837,5.695616264
23,El Tabor,La Constancia,1427,-75.7093123557,5.6961261174
24,San Isidro,La Puntuda,1350,-75.7110926,5.6951359132
25,San Isidro,La Ermita,1380,-75.7047881733,5.6820487415
26,San Isidro,El Patudo,1323,-75.7021802262,5.6857761536
27,San Isidro,Manantiales 1,1246,-75.6986495911,5.6903963222
28,San Isidro,Manantiales 2,1227,-75.6971861653,5.6909894757
29,San Isidro,Acapulco 2,1190,-75.7251196994,5.6979714995
30,San Isidro,Acapulco 1,1800,-75.7000658959,5.6982194984
31,San Isidro,Frudelca 1,1212,-75.6965800455,5.6953815662
32,San Isidro,Frudelca 2,1169,-75.6944773374,5.6953494029
33,San Isidro,Frudelca 3,1178,-75.690772565,5.6972660591
34,San Isidro,Frudelca 4,1076,-75.6894699998,5.698510467
35,San Isidro,Frudelca 5,1148,-75.6875711388,5.7000246366
36,San Isidro,Frudelca 6,1051,-75.6867265634,5.7022103183
37,San Isidro,Frudelca 7,1046,-75.6765027565,5.7053586088
38,San Isidro,El Indio,1183,-75.6901994645,5.6916326441
39,El Encanto,El Encanto,1296,-75.6973665671,5.6720777766
40,El Encanto,Las Máscaras,1252,-75.6947366293,5.6736806543
41,El Rayo,La Clara,1180,-75.6914322079,5.6818450811
42,El Rayo,La Máscara,1182,-75.6921449098,5.6819462331
43,El Rayo,Piedra de Amolar,1176,-75.690748505,5.680939421
44,El Rayo,El Paridero,1199,-75.6925859922,5.6786385784
45,El Rayo,El Triángulo 1,1222,-75.6937577011,5.6754773139
46,El Rayo,El Triángulo 2,1218,-75.6937483101,5.6756309749
47,El Rayo,Los Naranjos,1201,-75.6903410635,5.6739503757
48,El Rayo,Las Baticas,1196,-75.6901681516,5.6745556537
49,El Rayo,El Pirú,1160,-75.686412527,5.6713916107
50,El Rayo,Rayo Alto 1,990,-75.6809771862,5.6762421224
51,El Rayo,Rayo Alto 2,1065,-75.6864012173,5.6761105556
52,El Rayo,Rayo Alto 3,1163,-75.6861269933,5.6775653639
53,El Rayo,La Mira,1088,-75.6823064036,5.6826548045
54,El Rayo,La Virgen 1,1110,-75.6846419973,5.6833926957
55,El Rayo,La Virgen 2,1109,-75.6847230227,5.6834742527
56,El Rayo,La Virgen 3,1116,-75.6843171136,5.683391912
57,El Rayo,Villa Nueva,990,-75.6830201076,5.6898344153
58,El Rayo,La Máscara,1050,-75.6796613616,5.6867435954
59,El Rayo,El Mestizo,1043,-75.6785351018,5.6859905345
60,El Rayo,La Azulita,1042,-75.6769514744,5.687776641
61,El Rayo,El Mirador 1,1019,-75.6758707125,5.6868700035
62,El Rayo,El Mirador 2,1015,-75.6758342642,5.687014557
63,El Rayo,Los Escudos 1,1088,-75.678927138,5.6806035579
64,El Rayo,Los Escudos 2,1086,-75.6785215817,5.6803765724
65,El Rayo,Mala Cara,1074,-75.6786290683,5.680711318
66,El Rayo,La Danza,1074,-75.6785378636,5.6811088635
67,El Rayo,Las Espirales,1015,-75.677784814,5.6827704254
68,El Rayo,La Alta,1054,-75.6771890871,5.6828141819
69,El Rayo,El Rayo 2,990,-75.6758438451,5.683055002
70,El Rayo,Las Baticas,1033,-75.6758163124,5.683244778
71,El Rayo,Los Cuadros,977,-75.6747338308,5.6830523067
72,El Rayo,La Batica,990,-75.675561395,5.6841662527
73,El Rayo,El Rayo 1,961,-75.6744513787,5.6841635563
74,El Rayo,La Palestina 1,907,-75.6730572851,5.685941071
75,El Rayo,La Palestina 2,907,-75.6729121909,5.6862300018
76,El Rayo,La Aguadita,1040,-75.6784201449,5.6887474992
77,El Rayo,El Ciruelo 1,1013,-75.6764978606,5.6887609145
78,El Rayo,El Ciruelo 2,918,-75.6761178645,5.6891577574
79,El Rayo,El Ciruelo 3,998,-75.675613647,5.6886774053
80,El Rayo,Los Vallejos,1003,-75.6750892788,5.6890648564
81,Pescadero,El Ciruelo 4,985,-75.6761228396,5.690830194
82,Pescadero,Betancur 1,1009,-75.6765480478,5.6903973007
83,Pescadero,Betancur 2,1008,-75.6776389344,5.6908519564
84,Pescadero,La Bejuca 1,1068,-75.6825202391,5.6875460468
85,Pescadero,La Bejuca 2,1048,-75.6817470884,5.6900573401
86,Pescadero,La Bejuca 3,1063,-75.6816630102,5.6912413967
87,Pescadero,La Bejuca 4,1047,-75.6791953905,5.692844564
88,Pescadero,El Picacho,965,-75.6844119065,5.6965003788
89,Pescadero,La Cañada,940,-75.6852431921,5.6923348717
90,El Líbano,La Iglesia,834,-75.6733879506,5.705857261
91,El Líbano,El Carbón 1,801,-75.6682038293,5.7037291999
92,El Líbano,El Carbón 2,792,-75.6682935257,5.703955422
93,El Líbano,La Arcadia,759,-75.6676471897,5.7099293417
